cellid_source,cellid_sink,moistureflow_volume
12116,10820,0.0031637102805742176
12116,10821,0.0023401953583880104
12116,10822,0.5324205040499217
12116,10823,739.4775330958855
12116,10824,0.002587618878720772
12116,10825,0.0023401953583880104
12116,10826,0.0023401953583880104
12116,10827,66.27782478294333
12116,10828,0.3938312556426901
12116,10829,9.818666211744697
12116,10830,21.94007336012321
12116,10831,24.259747300020276
12116,10832,32.7967541949467
12116,10833,181.07155048374614
12116,10834,3692.292871763496
12116,10835,1827.0850337584552
12116,10836,1222.2666742436415
12116,10837,11153.888867428877
12116,10838,15078.943196680024
12116,10839,22540.50774688482
12116,10840,13637.121435638941
12116,10841,12333.164110022573
12116,10842,33694.30356361041
12116,10843,27558.7864482718
12116,10844,27558.7864482718
12116,10845,55692.597157390126
12116,10846,68091.65121944786
12116,10847,83251.1536980045
12116,10848,92053.10839204068
12116,10849,137604.05989807454
12116,10850,112547.24093011927
12116,10851,112547.24093011927
12116,10852,152152.62345710752
12116,10853,186026.9388997338
12116,10854,186026.9388997338
12116,10855,186026.9388997338
12116,10856,205695.14306667345
12116,10857,168239.37347508586
12116,10858,168239.37347508586
12116,10859,186026.9388997338
12116,10860,205695.14306667345
12116,10861,186026.9388997338
12116,10862,227442.82162286228
12116,10863,168239.37347508586
12116,10864,168239.37347508586
12116,10865,137604.05989807454
12116,10866,152152.62345710752
12116,10867,168239.37347508586
12116,10868,137604.05989807454
12116,10869,124446.60414133909
12116,10870,168239.37347508586
12116,10871,112547.24093011927
12116,10872,137604.05989807454
12116,10873,124446.60414133909
12116,10874,124446.60414133909
12116,10875,101785.67369018779
12116,10876,92053.10839204068
12116,10877,101785.67369018779
12116,10878,92053.10839204068
12116,10879,92053.10839204068
12116,10885,75290.82627532499
12116,10913,61580.8484932306
12116,10914,37256.725466973134
12116,10915,33694.30356361041
12116,10916,41195.79411697658
12116,10917,18436.025491943852
12116,10918,24923.66424569258
12116,11017,0.002587618878720772
12116,11018,0.0028612019238104885
12116,11019,0.002587618878720772
12116,11020,0.0021164300355267854
12116,11021,0.0023401953583880104
12116,11022,0.002587618878720772
12116,11023,0.0028612019238104885
12116,11024,0.0028612019238104885
12116,11025,0.0031637102805742176
12116,11026,5.940342824977949
12116,11027,0.0028612019238104885
12116,11028,0.5887121101917768
12116,11029,5.372337796947665
12116,11030,13.273855588287605
12116,11031,668.7700050475411
12116,11032,330.9324882089684
12116,11033,0.6509552995238478
12116,11034,0.0964351625256689
12116,11035,0.0964351625256689
12116,11036,0.2634616397997519
12116,11037,270.67179928882166
12116,11038,14.67727007942014
12116,11039,0.2913168383660798
12116,11040,16.229064385356345
12116,11041,81.0335082048693
12116,11042,21.94007336012321
12116,11043,2233.8559021653627
12116,11044,244.79064268358397
12116,11045,9122.837063093506
12116,11046,7461.626798415223
12116,11047,5519.3626631657235
12116,11048,4991.611010345511
12116,11049,6102.912295130788
12116,11050,18436.025491943852
12116,11051,24923.66424569258
12116,11052,41195.79411697658
12116,11053,55692.597157390126
12116,11054,50367.369953928064
12116,11055,75290.82627532499
12116,11056,68091.65121944786
12116,11057,83251.1536980045
12116,11058,92053.10839204068
12116,11059,101785.67369018779
12116,11060,101785.67369018779
12116,11061,152152.62345710752
12116,11062,152152.62345710752
12116,11063,137604.05989807454
12116,11064,186026.9388997338
12116,11065,227442.82162286228
12116,11066,251489.83265492786
